cycle,run,start,busy,done,error,saturation,state,norm_state,sum_busy,sum_done,sqrt_busy,sqrt_done,div_busy,div_done,apply_busy,apply_done,sum_index,apply_index
24,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x014,0x000
25,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x015,0x000
26,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x016,0x000
27,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x017,0x000
28,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x018,0x000
29,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x019,0x000
30,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x01a,0x000
31,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x01b,0x000
32,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x01c,0x000
33,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x01d,0x000
34,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x01e,0x000
35,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x01f,0x000
36,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x020,0x000
37,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x021,0x000
38,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x022,0x000
39,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x023,0x000
40,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x024,0x000
41,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x025,0x000
42,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x026,0x000
43,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x027,0x000
44,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x028,0x000
45,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x029,0x000
46,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x02a,0x000
47,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x02b,0x000
48,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x02c,0x000
49,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x02d,0x000
50,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x02e,0x000
51,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x02f,0x000
52,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x030,0x000
53,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x031,0x000
54,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x032,0x000
55,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x033,0x000
56,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x034,0x000
57,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x035,0x000
58,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x036,0x000
59,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x037,0x000
60,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x038,0x000
61,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x039,0x000
62,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x03a,0x000
63,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x03b,0x000
64,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x03c,0x000
65,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x03d,0x000
66,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x03e,0x000
