cycle,req_valid,req_ready,req_accept,req_kv_head,req_position,req_dim,rsp_valid,rsp_ready,rsp_accept,rsp_data,score_valid,score_ready,score_accept,score_q_head,score_kv_head,score_position,score_raw,score_scaled,score_last,k_request_count,k_response_count,score_count
23,1,1,1,0,0,3,0,0,0,0x000438,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,3,3,0
24,0,0,0,0,0,3,0,1,0,0x000438,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,4,3,0
25,0,0,0,0,0,3,0,1,0,0x000438,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,4,3,0
26,0,0,0,0,0,3,1,1,1,0xfffccd,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,4,3,0
27,1,1,1,0,0,4,0,0,0,0xfffccd,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,4,4,0
28,0,0,0,0,0,4,0,1,0,0xfffccd,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,5,4,0
29,0,0,0,0,0,4,0,1,0,0xfffccd,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,5,4,0
30,0,0,0,0,0,4,1,1,1,0xfffd70,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,5,4,0
31,1,1,1,0,0,5,0,0,0,0xfffd70,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,5,5,0
32,0,0,0,0,0,5,0,1,0,0xfffd70,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,6,5,0
33,0,0,0,0,0,5,0,1,0,0xfffd70,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,6,5,0
34,0,0,0,0,0,5,0,1,0,0xfffd70,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,6,5,0
35,0,0,0,0,0,5,0,1,0,0xfffd70,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,6,5,0
36,0,0,0,0,0,5,0,1,0,0xfffd70,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,6,5,0
37,0,0,0,0,0,5,1,1,1,0x0012d8,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,6,5,0
38,1,1,1,0,0,6,0,0,0,0x0012d8,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,6,6,0
39,0,0,0,0,0,6,0,1,0,0x0012d8,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,7,6,0
40,0,0,0,0,0,6,0,1,0,0x0012d8,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,7,6,0
41,0,0,0,0,0,6,1,1,1,0xfff3e7,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,7,6,0
42,1,1,1,0,0,7,0,0,0,0xfff3e7,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,7,7,0
43,0,0,0,0,0,7,0,1,0,0xfff3e7,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,8,7,0
44,0,0,0,0,0,7,0,1,0,0xfff3e7,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,8,7,0
45,0,0,0,0,0,7,1,1,1,0xfff460,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,8,7,0
46,1,1,1,0,0,8,0,0,0,0xfff460,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,8,8,0
47,0,0,0,0,0,8,0,1,0,0xfff460,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,9,8,0
48,0,0,0,0,0,8,0,1,0,0xfff460,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,9,8,0
49,0,0,0,0,0,8,1,1,1,0xfff630,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,9,8,0
50,1,1,1,0,0,9,0,0,0,0xfff630,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,9,9,0
51,0,0,0,0,0,9,0,1,0,0xfff630,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,10,9,0
52,0,0,0,0,0,9,0,1,0,0xfff630,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,10,9,0
53,0,0,0,0,0,9,1,1,1,0x0005dc,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,10,9,0
54,1,1,1,0,0,10,0,0,0,0x0005dc,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,10,10,0
55,0,0,0,0,0,10,0,1,0,0x0005dc,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,11,10,0
56,0,0,0,0,0,10,0,1,0,0x0005dc,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,11,10,0
57,0,0,0,0,0,10,0,1,0,0x0005dc,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,11,10,0
58,0,0,0,0,0,10,1,1,1,0x000c71,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,11,10,0
59,1,1,1,0,0,11,0,0,0,0x000c71,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,11,11,0
60,0,0,0,0,0,11,0,1,0,0x000c71,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
61,0,0,0,0,0,11,0,1,0,0x000c71,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
62,0,0,0,0,0,11,0,1,0,0x000c71,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
63,0,0,0,0,0,11,0,1,0,0x000c71,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
64,0,0,0,0,0,11,0,1,0,0x000c71,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
65,0,0,0,0,0,11,0,1,0,0x000c71,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
66,0,0,0,0,0,11,0,1,0,0x000c71,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
67,0,0,0,0,0,11,0,1,0,0x000c71,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
68,0,0,0,0,0,11,1,1,1,0x00010c,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,11,0
69,1,0,0,0,0,12,0,0,0,0x00010c,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,12,0
70,1,1,1,0,0,12,0,0,0,0x00010c,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,12,12,0
71,0,0,0,0,0,12,0,1,0,0x00010c,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,13,12,0
72,0,0,0,0,0,12,0,1,0,0x00010c,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,13,12,0
73,0,0,0,0,0,12,1,1,1,0x000082,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,13,12,0
74,1,1,1,0,0,13,0,0,0,0x000082,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,13,13,0
